#sample	lat	lon	miosture	EC	salt	pH	TC	TN	TC/TN	NH4_N	NO3_N	TP	AP	TK	AK
"C10_1"	48.0097222222222	126.975277777778	0.283213182	80.7	0.6	4.87	55.44498	5.01824	11.04869038	39.76077586	12.83505747	1.267868241	18.935	17.2350839	112.65
"C10_2"	48.0097222222222	126.975277777778	0.313328137	78.1	0.6	4.87	53.34556	4.8885	10.91245985	41.79580023	13.83484677	1.327446533	19.33	17.05281918	110.85
"C10_3"	48.0097222222222	126.975277777778	0.320197044	79.8	0.8	4.9	52.20346	4.73759	11.01899067	40.74710145	15.15144928	1.308724832	18.605	15.8518914	116.05
"C11_1"	47.5411111111111	127.0975	0.218390805	72.4	0.6	5.12	25.41776	2.37178	10.71674439	36.84705882	17.65588235	0.855466238	23.88	19.05144695	100.2
"C11_2"	47.5411111111111	127.0975	0.213178295	80.4	0.8	5.18	24.08605	2.34318	10.27921457	34.56945813	14.10738916	0.951651572	25.825	19.43260522	112.8
"C11_3"	47.5411111111111	127.0975	0.22254902	80.6	0.8	5.29	23.34202	2.21479	10.53915721	36.14375788	12.3480454	0.866556628	24.84	19.48324022	105.5
"C12_1"	47.5488888888889	127.473055555556	0.237218814	88.2	0.8	5.24	35.69367	3.212	11.11259963	36.5766756	13.37211796	1.119593286	30.565	17.96723693	156.25
"C12_2"	47.5488888888889	127.473055555556	0.264859228	82.3	0.8	5.34	36.64486	3.361725413	10.9006107	37.81588652	16.32340426	1.120708749	28.935	15.96414729	156.65
"C12_3"	47.5488888888889	127.473055555556	0.295454545	85.2	1	5.36	39.28795282	3.270178848	12.01400738	39.6	22.12	1.169170984	30.34	17.68134715	179.7
"C13_1"	47.5861111111111	126.099166666667	0.260154739	126.8	1.4	7.29	26.87321	2.78939	9.634081287	37.84575163	13.24601307	0.842360021	24.55	18.19073783	172.2
"C13_2"	47.5861111111111	126.099166666667	0.249826509	148.3	1.4	6.74	25.09327	2.56272	9.79165496	37.59130435	10.13098982	0.834474261	26.785	18.41114458	161.6
"C13_3"	47.5861111111111	126.099166666667	0.262962963	145.5	1.4	7.1	26.62765	2.81151	9.470942661	38.26130653	10.04020101	0.796236559	25.21	17.91330645	162.6
"C14_1"	47.3236111111111	125.945833333333	0.223801066	75.2	0.8	6.81	27.24964	2.503986627	10.88250221	36.07322654	7.085812357	0.741865195	12.05	17.27919814	156.85
"C14_2"	47.3236111111111	125.945833333333	0.206426485	77.5	0.8	6.82	23.85244	2.70261	8.825705522	34.90539877	6.552638037	0.79134095	12.09	17.07005412	156.3
"C14_3"	47.3236111111111	125.945833333333	0.210989011	76.3	0.9	6.92	25.80935373	2.465014874	10.47026288	35.86768802	8.491643454	0.929006085	16.145	16.91493408	164.65
"C15_1"	46.8502777777778	126.472777777778	0.198218263	192.2	1.8	7.1	26.56478	2.84958	9.322349258	34.29861111	22.57472222	1.154709141	43.12	18.1267313	250.9
"C15_2"	46.8502777777778	126.472777777778	0.221761658	172.9	1.7	7.11	29.88454	3.23297	9.24367996	33.7942743	19.40279627	1.154665314	43.83	17.12728195	220.25
"C15_3"	46.8502777777778	126.472777777778	0.230243902	183.3	1.8	6.97	32.54669	3.42751	9.495724301	34.81622307	25.46	1.290144928	59.89	17.49275362	244.85
"C16_1"	46.6130555555556	127.005277777778	0.167567568	68.2	0.6	4.71	24.29062	2.54972	9.526779411	33.99675325	10.81168831	1.082539238	57.935	18.58183857	154.3
"C16_2"	46.6130555555556	127.005277777778	0.179808401	64	0.6	4.88	24.2018	2.58512	9.361963855	34.26028751	11.58265948	1.069760978	54.005	18.63882713	165.75
"C16_3"	46.6130555555556	127.005277777778	0.177238806	66.2	0.6	4.87	25.36281	2.63283	9.633288135	33.05941043	11.18185941	1.052812859	55.26	18.00731917	164.6
"C17_1"	46.4269444444444	127.118611111111	0.24291939	117	1	6.81	30.50203	2.366864486	12.88710451	35.66330935	4.490935252	0.907380397	19.39	16.82103267	105.3
"C17_2"	46.4269444444444	127.118611111111	0.257763975	133	1.2	6.94	30.75904	2.460745023	12.49988915	36.10711297	3.368200837	0.984433962	17.645	15.96698113	150.95
"C17_3"	46.4269444444444	127.118611111111	0.256812552	127.2	1.2	6.97	30.19553	2.456259807	12.29329647	35.38811111	3.094777778	0.84491733	15.95	17.93478261	121.5
"C18_1"	42.9327777777778	124.205833333333	0.151908397	68.7	0.6	5.44	10.71581	1.86019	5.760599724	31.01080108	8.371737174	0.495	24.295	17.9775641	65.4
"C18_2"	42.9327777777778	124.205833333333	0.150749064	60.2	0.6	5.11	9.25021	1.68042	5.504701206	31.67497244	8.595810364	0.525671406	23.695	17.20971564	61.45
"C18_3"	42.9327777777778	124.205833333333	0.162318841	58.6	0.6	5.21	9.63172	1.8045	5.337611527	31.15743945	7.878892734	0.607275624	25.295	18.97238449	78.45
"C2_1"	49.1461111111111	125.61	0.196721311	71.5	0.6	5.3	33.69865	3.10483	10.85362162	32.36734694	8.216326531	1.124789916	26.2	17.37745098	144.75
"C2_2"	49.1461111111111	125.61	0.208682407	69.9	0.6	5.35	37.13996	3.43215	10.82119371	32.60384986	5.813089509	1.477048228	28.43	17.77672865	162.55
"C2_3"	49.1461111111111	125.61	0.187192118	73	0.8	5.3	31.97595	2.99651	10.671064	32.3569697	7.381818182	1.289952532	19.865	18.33135549	161.8
"C20_1"	43.0419444444444	124.173055555556	0.152859961	73.9	0.8	4.29	9.86234	1.84397	5.348427577	32.81629802	14.75552969	0.736656596	52.245	17.06633938	149.55
"C20_2"	43.0419444444444	124.173055555556	0.147487844	66.8	0.6	4.25	9.87571	1.88317	5.244194629	32.37490494	19.58	0.868093174	51.65	17.42619177	114
"C20_3"	43.0419444444444	124.173055555556	0.157540826	78.6	0.8	4.26	9.63777	1.95032	4.941635219	32.1677309	16.26191562	0.764351615	51.955	17.59354177	127.75
"C21_1"	43.2905555555556	124.656944444444	0.166497462	74.5	0.6	6.3	13.93105	2.13027	6.539570101	38.51218027	10.31790499	0.578813559	17.465	18.21539548	117.05
"C21_2"	43.2905555555556	124.656944444444	0.183927092	77.1	0.8	6.39	13.8959	2.18401	6.362562442	31.49228426	13.9693401	0.556950935	16.565	18.28271028	119.8
"C21_3"	43.2905555555556	124.656944444444	0.168674699	70.3	0.6	6.37	12.42263	2.05922	6.032687134	30.7942029	11.66811594	0.547264355	13.7	18.52992958	121.35
"C22_1"	43.4233333333333	124.758888888889	0.161149826	71.1	0.6	4.7	12.43705	2.22524	5.589082526	31.11401869	15.7	0.697368421	37.6	18.29557786	139.9
"C22_2"	43.4233333333333	124.758888888889	0.141836735	74.8	0.6	4.68	10.92505	2.10492	5.19024476	32.27824019	18.1783591	0.70314238	38.225	19.53559511	126.7
"C22_3"	43.4233333333333	124.758888888889	0.140438247	90.2	0.8	4.32	11.3496	2.20974	5.136169866	31.06234067	19.77752028	0.746121718	46.735	17.8923031	116.35
"C23_1"	44.0180555555556	125.239166666667	0.195219124	71.6	0.6	5.43	18.75901	1.665372933	11.26414969	32.67970297	14.66237624	0.674703664	22.52	16.91136853	144.95
"C23_2"	44.0180555555556	125.239166666667	0.185112635	74.2	0.6	5.23	18.10757	1.746687374	10.36680649	46.75492788	12.88521635	0.644400227	23.615	16.43334281	145.95
"C23_3"	44.0180555555556	125.239166666667	0.190938511	78.5	0.6	5.45	20.09796	1.937575926	10.37273416	32.6304	8.2812	0.595438698	24.94	16.89424753	159.4
"C24_1"	44.3219444444444	126.026666666667	0.188128773	54.5	0.4	4.61	15.6727	2.40175	6.525533465	31.40892193	7.143990087	0.664944134	20.29	17.38128492	142.3
"C24_2"	44.3219444444444	126.026666666667	0.180755396	55.6	0.5	4.65	15.86172	2.51775	6.299958296	31.73655324	8.422392975	0.603499407	20.295	17.04107355	161.45
"C24_3"	44.3219444444444	126.026666666667	0.164579606	52	0.4	4.62	15.88544	2.3928	6.638849883	32.31905782	9.935117773	0.626863685	16.695	17.65841321	149.15
"C25_1"	44.4111111111111	125.818611111111	0.170850767	185.2	1.8	3.83	16.35731	2.76657	5.912487304	61.50883095	16.21	1.025080906	51.515	16.31607335	190.95
"C25_2"	44.4111111111111	125.818611111111	0.156441718	178.2	2.5	3.93	14.87001	2.65079	5.609652217	34.02254545	13.6	0.991398446	51.645	17.26206992	191.4
"C25_3"	44.4111111111111	125.818611111111	0.16262354	176.1	2.4	3.96	16.12952	2.76524	5.832954825	31.04935622	14.56	1.00682183	59.54	17.10139112	217.1
"C26_1"	44.6688888888889	125.920833333333	0.151646447	46.2	0.4	4.91	17.76992	2.50116	7.104671432	29.46884576	8.13340143	0.584994753	20.55	17.31374607	174.45
"C26_2"	44.6688888888889	125.920833333333	0.158279221	50	0.4	4.97	16.3735	2.46714	6.63663189	31.12671167	10.57357763	0.587540279	22.34	17.03477444	169.5
"C26_3"	44.6688888888889	125.920833333333	0.149918963	47.2	0.4	4.88	15.73405	2.32727	6.760732532	29.40896092	8.116873213	0.646610697	22.815	17.09810323	150.75
"C27_1"	45.1191666666667	126.191388888889	0.159924741	79.6	0.6	4.62	19.84344502	2.137575788	9.283153904	31.30671892	6.427995521	0.814336235	38.25	17.63465724	155.85
"C27_2"	45.1191666666667	126.191388888889	0.155358899	57.3	0.4	4.79	19.93103889	2.167711426	9.194507467	31.49266589	6.748428405	0.883928571	48.84	17.24094567	154.1
"C27_3"	45.1191666666667	126.191388888889	0.156462585	54.6	0.4	4.65	22.51369722	2.269146044	9.921660741	29.99274194	6.52016129	0.805336488	40.81	18.19794953	187.65
"C28_1"	45.9108333333333	126.475833333333	0.152647975	52.4	0.4	5.63	18.56	1.98155	9.366405087	30.91985294	8.025	1.146039604	57.605	17.40236524	141.25
